sample_id;treatment;species;experiment_GS;gender;drop
Dekker_et_al_individual1_CHX;CHX;fib;Dekker_et_al_rnaseq;M;
Dekker_et_al_individual1_untreated;untreated;fib;Dekker_et_al_rnaseq;M;
Dekker_et_al_individual2_CHX;CHX;fib;Dekker_et_al_rnaseq;V;
Dekker_et_al_individual2_untreated;untreated;fib;Dekker_et_al_rnaseq;V;
Dekker_et_al_individual3_CHX;CHX;fib;Dekker_et_al_rnaseq;V;
Dekker_et_al_individual3_untreated;untreated;fib;Dekker_et_al_rnaseq;V;
Dekker_et_al_individual4_CHX;CHX;fib;Dekker_et_al_rnaseq;V;
Dekker_et_al_individual4_untreated;untreated;fib;Dekker_et_al_rnaseq;V;
Dekker_et_al_individual5_CHX;CHX;fib;Dekker_et_al_rnaseq;V;
Dekker_et_al_individual5_untreated;untreated;fib;Dekker_et_al_rnaseq;V;
Dekker_et_al_individual6_CHX;CHX;fib;Dekker_et_al_rnaseq;M;
Dekker_et_al_individual6_untreated;untreated;fib;Dekker_et_al_rnaseq;M;
Dekker_et_al_individual7_CHX;CHX;fib;Dekker_et_al_rnaseq;M;
Dekker_et_al_individual7_untreated;untreated;fib;Dekker_et_al_rnaseq;M;
Dekker_et_al_individual8_CHX;CHX;fib;Dekker_et_al_rnaseq;O;
Dekker_et_al_individual8_untreated;untreated;fib;Dekker_et_al_rnaseq;O;
Dekker_et_al_individual9_CHX;CHX;fib;Dekker_et_al_rnaseq;M;
Dekker_et_al_individual9_untreated;untreated;fib;Dekker_et_al_rnaseq;M;
