	Dekker_et_al_individual2_CHX	Dekker_et_al_individual2_untreated	Dekker_et_al_individual4_CHX	Dekker_et_al_individual4_untreated	Dekker_et_al_individual3_CHX	Dekker_et_al_individual3_untreated	Dekker_et_al_individual1_CHX	Dekker_et_al_individual1_untreated	Dekker_et_al_individual5_CHX	Dekker_et_al_individual5_untreated	Dekker_et_al_individual9_CHX	Dekker_et_al_individual9_untreated	Dekker_et_al_individual7_CHX	Dekker_et_al_individual7_untreated	Dekker_et_al_individual8_CHX	Dekker_et_al_individual8_untreated	Dekker_et_al_individual6_CHX	Dekker_et_al_individual6_untreated
chr1_34610_36081_FAM138A	2	0	153	0	5	0	124	0	12	0	1	1	3	0	41	0	13	0
chr1_3805696_3806526_C1orf174	22	190	39	348	115	381	166	314	91	276	113	629	98	1289	32	323	38	327
chr1_3806637_3807132_C1orf174	0	0	1	5	0	0	0	1	3	13	3	13	0	23	1	4	0	4
chr1_3807621_3809446_C1orf174	8	53	13	109	19	126	42	274	35	134	55	198	36	708	9	178	16	215
chr1_3809560_3816735_C1orf174	5	5	4	35	19	13	44	14	19	17	30	13	9	49	4	22	3	12
chr1_3816750_3816836_C1orf174	1	43	2	64	16	82	25	66	6	58	17	96	23	272	12	75	2	62
chr1_12290086_12294323_VPS13D	8	40	19	19	2	6	25	13	11	12	31	29	29	47	18	24	12	12
chr1_12294420_12302569_VPS13D	0	0	0	2	2	0	3	3	0	1	3	3	0	1	0	0	2	0
chr1_12302647_12304302_VPS13D	0	1	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0
chr1_12304493_12304593_VPS13D	0	0	2	1	0	1	0	0	2	1	0	1	0	1	0	0	0	0
chr1_12304674_12309279_VPS13D	0	5	0	0	0	2	0	0	1	2	2	10	0	10	0	0	0	0
chr1_12309396_12313778_VPS13D	0	3	3	6	1	0	0	3	0	1	3	2	2	4	0	1	2	2
chr1_12313883_12316389_VPS13D	2	7	3	9	0	3	0	0	4	2	1	4	1	7	4	2	3	1
chr1_12316560_12317043_VPS13D	0	1	0	0	0	0	0	1	0	0	0	1	6	1	1	1	0	0
chr1_12317144_12317991_VPS13D	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1_12318160_12320749_VPS13D	0	1	1	2	0	0	0	0	1	0	0	1	0	1	0	2	1	1
chr1_12320851_12321004_VPS13D	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
chr1_12321206_12321957_VPS13D	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
chr1_12322137_12326937_VPS13D	0	0	2	4	0	0	0	0	0	0	0	6	0	2	0	4	0	0
chr1_12327068_12327901_VPS13D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_12327977_12328762_VPS13D	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr1_12328933_12331050_VPS13D	3	0	0	2	1	0	0	1	0	2	1	0	10	5	0	0	0	0
chr1_12331181_12333059_VPS13D	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0
chr1_12333192_12335881_VPS13D	0	0	4	0	0	0	4	0	0	0	5	0	0	0	4	0	3	3
chr1_12338095_12339555_VPS13D	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_12339707_12342761_VPS13D	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
chr1_12343793_12348279_VPS13D	0	3	0	1	2	2	0	0	1	0	0	3	1	3	2	1	3	0
chr1_12348370_12351054_VPS13D	1	1	0	2	0	1	1	0	0	0	2	0	0	3	0	0	0	1
chr1_12351181_12353580_VPS13D	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
chr1_12353761_12359258_VPS13D	0	2	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
chr1_12359441_12364562_VPS13D	0	2	0	0	3	0	0	0	0	2	1	0	2	4	1	0	0	0
chr1_12364785_12368487_VPS13D	1	13	3	6	0	8	9	9	1	4	14	9	6	16	1	4	2	6
chr1_12368698_12371510_VPS13D	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	2	0
chr1_12371682_12371869_VPS13D	0	0	1	0	0	0	2	0	0	0	4	0	1	0	1	0	0	0
chr1_12371982_12374171_VPS13D	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_12374384_12378128_VPS13D	0	2	0	1	2	0	2	0	1	0	0	2	3	17	0	1	0	0
chr1_12378394_12379553_VPS13D	0	5	6	2	0	0	2	1	1	0	5	3	3	21	2	3	2	6
chr1_12379687_12381865_VPS13D	2	4	5	0	1	0	3	3	3	4	0	0	0	0	2	0	2	0
chr1_12382021_12382592_VPS13D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_12382803_12383762_VPS13D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1_12383837_12387704_VPS13D	0	1	0	0	0	0	2	2	0	2	4	0	3	2	2	3	1	0
chr1_12387911_12389885_VPS13D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_12389975_12393282_VPS13D	0	3	0	0	0	1	5	2	1	4	3	0	2	4	0	0	0	0
chr1_12393423_12395761_VPS13D	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
chr1_12395884_12398287_VPS13D	0	2	2	0	0	1	0	1	0	0	4	0	0	2	0	2	0	2
chr1_12398362_12401836_VPS13D	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr1_12401942_12402955_VPS13D	0	4	3	0	0	2	6	0	10	0	6	0	7	0	4	2	0	0
chr1_12403108_12405430_VPS13D	0	7	0	0	0	5	1	0	0	0	5	1	7	3	0	0	1	0
chr1_12405566_12406661_VPS13D	0	5	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0
chr1_12406709_12408879_VPS13D	0	2	0	0	0	0	1	2	0	2	0	0	0	0	0	2	0	0
chr1_12409030_12409220_VPS13D	0	4	0	2	1	1	1	2	0	1	5	2	0	4	0	2	0	1
chr1_12409431_12414030_VPS13D	2	0	1	2	0	2	1	4	0	5	2	8	3	9	2	2	0	1
chr1_12414278_12415955_VPS13D	0	0	1	0	0	0	1	1	0	0	0	0	1	4	0	0	0	0
chr1_12416147_12416454_VPS13D	0	0	1	1	0	0	0	0	1	0	1	0	1	6	0	0	0	0
chr1_12416581_12418514_VPS13D	0	2	0	0	0	0	0	0	0	0	1	0	1	2	0	0	2	2
chr1_12418657_12422775_VPS13D	0	24	1	6	3	0	10	4	4	0	5	10	4	13	0	5	2	2
chr1_12422906_12423127_VPS13D	0	2	1	0	0	0	4	1	0	0	3	1	1	11	0	0	0	0
chr1_12423303_12428522_VPS13D	0	12	1	1	2	3	4	4	3	2	5	12	2	34	3	2	3	5
chr1_12428646_12429521_VPS13D	0	1	0	3	0	0	0	3	0	2	0	1	0	11	2	0	0	0
chr1_12429757_12433804_VPS13D	0	0	0	0	1	0	0	2	0	0	6	0	2	9	0	1	5	0
chr1_12433913_12438481_VPS13D	0	1	2	0	0	0	2	2	3	3	6	5	11	11	3	0	3	0
chr1_12438645_12439541_VPS13D	0	1	0	1	0	1	1	0	0	2	1	2	0	22	0	8	0	0
chr1_12439650_12443034_VPS13D	1	3	0	0	2	0	0	3	0	1	3	0	0	2	1	0	0	0
chr1_12443214_12445318_VPS13D	1	3	4	0	0	0	1	2	0	2	5	3	3	7	2	2	2	0
chr1_12445432_12446243_VPS13D	1	0	0	4	1	0	3	0	0	0	0	0	1	11	1	0	0	0
chr1_12446393_12460237_VPS13D	0	12	4	0	2	4	14	4	3	2	6	6	3	17	9	7	0	0
chr1_12460387_12461660_VPS13D	0	1	2	0	0	1	0	0	1	2	5	0	2	1	3	1	0	0
chr1_12461757_12463877_VPS13D	2	1	4	1	0	1	7	0	6	0	13	7	9	28	4	1	5	0
chr1_12464026_12475139_VPS13D	5	13	17	0	2	1	12	0	2	3	14	7	7	14	7	2	13	0
chr1_12475274_12476712_VPS13D	1	0	2	0	1	1	2	1	0	0	1	0	0	4	0	0	3	0
chr1_12476880_12516053_VPS13D	24	64	27	3	8	2	26	1	9	5	34	5	12	17	24	7	35	2
chr1_12516186_12520255_VPS13D	0	8	5	1	13	0	5	0	5	1	17	4	5	23	10	1	9	5
chr1_12520451_12557553_VPS13D	7	85	25	27	19	7	34	7	16	9	35	33	34	44	21	14	10	9
chr1_12557685_12566906_VPS13D	0	32	1	28	0	9	10	23	11	14	9	23	21	51	2	24	0	25
chr1_12567147_12568946_VPS13D	19	29	32	44	2	0	33	37	24	28	39	27	105	120	29	50	27	29
chr1_12569075_12572099_VPS13D	70	483	213	493	0	0	523	430	191	334	630	712	685	2008	283	432	278	274
chr1_19991367_19992246_HTR6	0	0	0	1	4	3	6	0	0	0	4	0	3	4	2	0	3	0
chr1_19992960_20005059_HTR6	0	3	2	3	0	0	14	4	0	2	6	3	7	13	3	0	11	3
chr1_20005218_20005411_HTR6	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1_20005858_20007459_HTR6	6	12	3	0	26	0	8	11	0	8	24	14	39	2	6	4	13	6
chr1_28832454_28856378_RCC1	592	685	1185	2162	1850	1538	2907	2240	2027	1572	5257	2793	1383	8512	1032	2549	1326	1705
chr1_28856451_28857034_RCC1	0	0	7	1	0	6	1	2	1	1	11	5	3	13	1	2	3	0
chr1_28857127_28858314_RCC1	10	11	42	31	27	19	46	16	37	31	167	39	66	124	34	46	14	33
chr1_28858502_28858682_RCC1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
chr1_28858862_28861561_RCC1	2	0	13	8	4	2	26	6	9	3	36	5	10	41	3	7	8	3
chr1_28861658_28861769_RCC1	1	8	5	10	16	13	36	9	16	7	83	25	17	75	6	17	7	7
chr1_28861892_28862382_RCC1	1	2	0	4	2	1	7	1	1	5	15	3	2	10	0	6	0	0
chr1_28862538_28862773_RCC1	11	6	22	7	34	1	57	6	21	0	166	4	26	7	28	2	21	2
chr1_28862893_28863258_RCC1	2	5	14	7	2	3	4	3	1	3	15	7	3	14	6	3	2	0
chr1_28863411_28864343_RCC1	1	2	4	4	0	0	2	0	0	0	3	0	2	0	0	1	4	0
chr1_28864516_28865812_RCC1	548	458	1596	1011	1412	686	3512	758	1670	635	7250	1497	1386	2670	1397	1109	1468	651
chr1_28906275_28906405_SNORA61	2	23	13	93	12	32	13	62	15	47	30	84	15	505	9	143	3	88
chr1_40026487_40027372_PABPC4	191	578	185	976	529	924	862	932	718	861	1073	2088	467	5037	377	1162	262	927
chr1_40027459_40027744_PABPC4	35	21	6	53	7	24	23	45	21	43	25	49	21	244	12	43	9	31
chr1_40027875_40027994_PABPC4	6	11	8	27	8	22	18	25	17	21	28	41	11	150	5	36	6	13
chr1_40028088_40029285_PABPC4	27	18	16	111	41	51	96	106	78	55	101	125	73	525	33	166	29	73
chr1_40029413_40029507_PABPC4	14	25	16	96	36	57	75	88	41	92	85	127	39	467	35	124	14	59
chr1_40029594_40030094_PABPC4	6	35	24	118	33	62	53	113	63	75	64	159	62	745	28	176	16	74
chr1_40030214_40030357_PABPC4	16	24	12	27	20	29	32	42	28	25	48	66	27	311	17	50	9	35
chr1_40030445_40030777_PABPC4	1	22	7	24	13	36	20	39	25	19	32	53	9	270	9	53	6	27
chr1_40031050_40033422_PABPC4	18	74	19	151	35	65	53	96	78	126	77	206	94	795	37	233	11	79
chr1_40033518_40034473_PABPC4	29	48	34	123	19	63	44	127	82	97	69	137	88	1391	48	320	15	91
chr1_40034611_40035266_PABPC4	7	7	1	16	17	15	19	25	17	44	10	40	22	187	6	102	2	17
chr1_40035361_40035534_PABPC4	17	34	11	49	26	51	28	33	28	47	41	70	27	304	17	56	21	54
chr1_40035674_40036905_PABPC4	114	42	116	96	452	50	488	72	397	54	446	110	319	477	148	142	149	59
chr1_40037021_40038064_PABPC4	0	4	2	12	5	7	5	13	4	10	14	15	2	121	5	17	5	21
chr1_40038258_40041430_PABPC4	4	13	9	20	4	3	13	25	12	13	6	11	21	74	5	19	3	8
chr1_40041623_40042462_PABPC4	264	1014	381	2840	2075	3123	1445	2127	803	1158	2006	2466	428	5503	413	1038	413	1444
chr1_44398991_44401328_ARTN	42	10	102	17	199	14	283	20	137	10	558	35	374	45	167	24	294	8
chr1_44401388_44401740_ARTN	2	1	2	3	4	2	14	0	2	0	13	5	14	4	4	0	9	0
chr1_44401903_44401973_ARTN	1	0	1	2	2	1	5	1	1	0	5	0	4	0	2	1	2	0
chr1_44402434_44402912_ARTN	4	0	26	3	80	2	80	2	35	6	150	10	65	7	40	2	95	0
chr1_47137525_47137606_TEX38	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
chr1_47137643_47138544_TEX38	0	1	0	0	0	4	0	0	0	1	0	0	1	2	0	0	0	0
chr1_47139125_47139266_TEX38	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
chr1_47649253_47649645_PDZK1IP1	118	0	19	0	254	0	808	4	265	1	262	0	22	2	12	0	137	0
chr1_47649715_47650673_PDZK1IP1	5	0	0	0	2	0	3	0	1	0	2	0	1	0	0	0	0	0
chr1_47650769_47652990_PDZK1IP1	28	0	0	0	32	0	166	2	27	0	63	0	11	0	0	0	41	0
chr1_47653099_47655537_PDZK1IP1	14	0	0	0	13	0	23	0	14	0	21	0	4	0	3	0	11	0
chr1_47655604_47655708_PDZK1IP1	91	0	5	0	168	0	639	0	184	0	219	0	20	0	10	0	127	0
chr1_62208151_62228564_PATJ	2	20	9	13	17	23	15	12	14	21	26	38	15	51	13	8	10	13
chr1_62228586_62228684_PATJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_62228851_62231950_PATJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_62232145_62234954_PATJ	0	0	0	0	2	0	1	0	0	0	2	1	0	0	0	0	0	0
chr1_62235094_62237102_PATJ	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	1
