	Dekker_et_al_individual2_CHX	Dekker_et_al_individual2_untreated	Dekker_et_al_individual4_CHX	Dekker_et_al_individual4_untreated	Dekker_et_al_individual3_CHX	Dekker_et_al_individual3_untreated	Dekker_et_al_individual1_CHX	Dekker_et_al_individual1_untreated	Dekker_et_al_individual5_CHX	Dekker_et_al_individual5_untreated	Dekker_et_al_individual9_CHX	Dekker_et_al_individual9_untreated	Dekker_et_al_individual7_CHX	Dekker_et_al_individual7_untreated	Dekker_et_al_individual8_CHX	Dekker_et_al_individual8_untreated	Dekker_et_al_individual6_CHX	Dekker_et_al_individual6_untreated
chr1_3806526_3806637_C1orf174-NM_207356.3	13	80	17	159	46	164	88	179	58	150	66	296	50	520	13	172	9	138
chr1_3807132_3807621_C1orf174-NM_207356.3	37	196	43	405	130	466	219	467	139	352	169	698	118	1370	52	401	36	323
chr1_3809446_3809560_C1orf174-NM_207356.3	11	70	16	125	37	179	61	153	26	111	48	213	38	539	20	125	14	118
chr1_3816735_3816750_C1orf174-NM_207356.3	2	45	4	69	22	93	30	80	7	61	20	107	23	306	12	82	4	70
chr1_12294323_12294420_VPS13D-NM_015378.4	10	56	23	23	3	6	37	16	23	22	41	45	38	63	23	31	20	19
chr1_12302569_12302647_VPS13D-NM_015378.4	10	30	22	26	3	13	37	17	23	15	35	42	32	47	22	32	18	15
chr1_12304302_12304493_VPS13D-NM_015378.4	9	74	31	52	7	17	75	35	34	37	65	80	64	95	44	61	41	22
chr1_12304593_12304674_VPS13D-NM_015378.4	8	60	23	40	4	12	61	27	22	35	65	58	43	80	34	46	35	23
chr1_12309279_12309396_VPS13D-NM_015378.4	11	59	26	45	2	16	54	29	28	42	79	61	52	84	35	36	37	30
chr1_12313778_12313883_VPS13D-NM_015378.4	6	64	27	50	6	12	42	36	28	33	74	50	32	68	31	39	28	20
chr1_12316389_12316560_VPS13D-NM_015378.4	5	86	29	72	7	12	56	46	38	36	91	71	50	87	41	50	28	26
chr1_12317043_12317144_VPS13D-NM_015378.4	2	63	29	58	4	10	42	28	33	31	78	50	42	60	25	31	21	28
chr1_12317991_12318160_VPS13D-NM_015378.4	6	82	43	66	6	16	54	32	38	40	90	58	37	78	26	48	33	31
chr1_12320749_12320851_VPS13D-NM_015378.4	4	61	30	45	3	15	46	23	21	32	59	47	25	66	22	41	21	28
chr1_12321004_12321206_VPS13D-NM_015378.4	11	83	34	75	10	22	81	39	29	41	105	66	45	108	30	54	27	47
chr1_12321957_12322137_VPS13D-NM_015378.4	13	65	24	77	8	12	70	40	31	33	89	61	43	103	34	48	21	40
chr1_12326937_12327068_VPS13D-NM_015378.4	8	41	18	61	4	10	56	30	27	27	66	36	53	61	27	38	22	26
chr1_12327901_12327977_VPS13D-NM_015378.4	8	30	23	48	10	11	49	24	24	26	54	36	43	55	22	37	21	19
chr1_12328762_12328933_VPS13D-NM_015378.4	9	44	31	72	12	12	55	29	39	33	64	45	55	76	27	47	30	26
chr1_12331050_12331181_VPS13D-NM_015378.4	10	48	29	53	5	10	42	15	30	36	50	39	51	68	22	34	23	23
chr1_12333059_12333192_VPS13D-NM_015378.4	14	63	30	57	7	10	48	29	37	54	64	54	59	75	34	44	25	30
chr1_12335881_12338095_VPS13D-NM_015378.4	53	556	229	399	57	133	499	307	256	300	574	467	367	754	302	424	239	276
chr1_12339555_12339707_VPS13D-NM_015378.4	16	91	45	59	7	12	86	58	54	52	78	73	68	133	38	68	29	35
chr1_12342761_12343793_VPS13D-NM_015378.4	36	297	108	224	33	55	333	172	152	165	311	254	242	396	166	229	141	115
chr1_12348279_12348370_VPS13D-NM_015378.4	4	57	17	48	8	20	66	35	39	29	73	57	43	78	42	40	30	29
chr1_12351054_12351181_VPS13D-NM_015378.4	7	68	22	59	7	19	67	41	41	30	65	65	45	88	37	50	23	28
chr1_12353580_12353761_VPS13D-NM_015378.4	12	68	33	73	7	23	89	47	44	46	91	76	68	109	30	65	35	38
chr1_12359258_12359441_VPS13D-NM_015378.4	11	66	33	73	13	20	90	51	44	54	96	95	66	135	42	68	45	46
chr1_12364562_12364785_VPS13D-NM_015378.4	9	100	40	86	15	26	89	69	55	55	112	104	75	157	58	77	56	49
chr1_12368487_12368698_VPS13D-NM_015378.4	6	90	33	80	4	23	92	58	64	62	132	91	80	173	48	82	49	43
chr1_12371510_12371682_VPS13D-NM_015378.4	7	73	27	62	3	14	87	53	57	55	119	76	58	159	48	69	34	43
chr1_12371869_12371982_VPS13D-NM_015378.4	4	63	19	48	4	10	65	43	37	37	98	59	47	104	35	45	29	36
chr1_12374171_12374384_VPS13D-NM_015378.4	8	88	35	73	9	16	113	62	59	51	130	101	59	158	40	65	52	57
chr1_12378128_12378394_VPS13D-NM_015378.4	9	93	54	98	10	23	139	73	63	61	176	143	87	238	60	89	55	67
chr1_12379553_12379687_VPS13D-NM_015378.4	6	94	53	86	7	14	116	54	55	38	133	124	77	218	52	63	28	43
chr1_12381865_12382021_VPS13D-NM_015378.4	7	114	55	85	7	14	118	62	62	52	147	128	93	241	55	68	31	45
chr1_12382592_12382803_VPS13D-NM_015378.4	14	111	56	81	9	26	154	68	64	72	183	132	92	223	74	84	49	44
chr1_12383762_12383837_VPS13D-NM_015378.4	10	52	37	49	4	15	81	50	34	47	108	81	62	140	49	58	28	34
chr1_12387704_12387911_VPS13D-NM_015378.4	13	79	51	90	5	22	118	83	64	61	153	119	100	166	86	84	49	51
chr1_12389885_12389975_VPS13D-NM_015378.4	7	58	25	73	5	13	78	62	40	40	90	88	54	106	55	52	42	30
chr1_12393282_12393423_VPS13D-NM_015378.4	7	66	26	78	7	12	87	62	46	53	116	106	65	135	54	60	49	33
chr1_12395761_12395884_VPS13D-NM_015378.4	8	60	29	64	7	12	82	46	35	52	111	91	79	139	44	44	44	25
chr1_12398287_12398362_VPS13D-NM_015378.4	4	2	7	7	0	0	33	1	11	3	39	12	19	8	8	4	11	4
chr1_12401836_12401942_VPS13D-NM_015378.4	9	51	38	64	8	13	71	48	30	43	93	89	74	117	48	54	42	38
chr1_12402955_12403108_VPS13D-NM_015378.4	9	74	36	74	7	13	83	66	30	56	119	114	97	177	48	69	60	44
chr1_12405430_12405566_VPS13D-NM_015378.4	9	80	39	55	13	9	85	57	34	51	111	105	94	181	45	64	58	48
chr1_12406661_12406709_VPS13D-NM_015378.4	9	60	29	40	12	6	68	32	31	35	90	83	70	121	36	48	42	42
